order_id,customer_id,order_date
1,266,06-01-2024
2,319,13-02-2025
3,256,02-10-2024
4,227,17-02-2025
5,27,28-07-2023
6,137,16-07-2024
7,68,22-10-2023
8,225,16-12-2024
9,249,05-05-2023
10,15,07-10-2024
11,312,29-03-2025
12,123,27-12-2024
13,82,15-11-2023
14,283,15-01-2023
15,283,22-02-2024
16,48,19-08-2023
17,431,27-04-2023
18,237,01-05-2023
19,332,02-05-2025
20,79,25-05-2024
21,478,03-01-2025
22,150,05-06-2024
23,362,07-10-2023
24,213,04-05-2025
25,248,28-04-2024
26,125,12-04-2024
27,283,29-05-2023
28,197,15-07-2023
29,472,05-09-2024
30,261,03-02-2025
31,451,20-05-2023
32,443,13-03-2023
33,142,02-03-2025
34,405,24-05-2025
35,213,15-12-2023
36,479,17-03-2025
37,260,01-10-2023
38,421,03-01-2023
39,145,13-01-2025
40,153,07-05-2025
41,301,16-08-2024
42,338,16-05-2024
43,444,02-06-2023
44,229,05-07-2024
45,248,20-12-2023
46,171,19-07-2024
47,391,10-07-2024
48,194,11-04-2024
49,478,26-11-2023
50,446,13-07-2023
51,358,02-09-2023
52,293,28-01-2024
53,120,26-05-2025
54,398,25-02-2024
55,23,22-11-2023
56,382,29-04-2024
57,362,10-04-2025
58,196,31-01-2024
59,340,22-03-2025
60,421,29-10-2024
61,78,22-05-2024
62,494,07-02-2023
63,65,29-05-2024
64,495,27-08-2024
65,170,09-06-2025
66,52,14-06-2025
67,433,26-03-2024
68,52,22-06-2024
69,467,12-04-2024
70,8,09-01-2025
71,74,24-02-2024
72,446,01-11-2024
73,497,08-06-2023
74,39,25-04-2024
75,401,29-09-2023
76,174,30-09-2024
77,355,12-02-2024
78,333,24-03-2023
79,437,03-12-2023
80,437,21-11-2024
81,440,30-06-2024
82,195,21-11-2023
83,321,05-01-2025
84,455,16-02-2025
85,250,12-06-2025
86,278,06-02-2023
87,317,12-03-2023
88,121,08-10-2024
89,351,22-10-2023
90,117,03-02-2025
91,47,20-03-2024
92,51,17-02-2025
93,325,21-12-2024
94,447,13-04-2023
95,228,20-06-2023
96,356,03-11-2023
97,463,30-01-2023
98,24,29-11-2023
99,408,27-02-2023
100,151,03-01-2024
101,192,17-03-2024
102,75,08-09-2023
103,272,26-02-2024
104,290,29-11-2024
105,406,04-07-2023
106,88,29-06-2023
107,41,16-09-2024
108,446,27-01-2024
109,318,30-11-2024
110,124,24-05-2024
111,468,20-08-2024
112,74,26-08-2023
113,237,15-10-2024
114,131,15-04-2024
115,131,13-11-2024
116,5,03-04-2025
117,239,22-10-2023
118,347,13-07-2024
119,81,17-03-2023
120,227,20-12-2023
121,301,03-11-2023
122,328,10-03-2024
123,354,14-09-2023
124,234,15-05-2025
125,155,23-07-2023
126,197,23-05-2025
127,248,20-04-2023
128,122,26-01-2024
129,293,03-01-2024
130,295,30-10-2023
131,359,30-10-2023
132,12,29-04-2025
133,338,10-02-2024
134,141,09-01-2023
135,290,04-06-2025
136,352,07-03-2025
137,382,20-02-2023
138,467,12-09-2024
139,382,23-05-2024
140,427,21-10-2023
141,398,29-03-2025
142,118,13-09-2024
143,411,27-12-2023
144,113,13-10-2024
145,98,27-09-2024
146,129,25-11-2024
147,387,08-01-2025
148,393,06-11-2024
149,349,08-05-2025
150,71,05-10-2024
